Intestazione_1,Intestazione_2,unita_misura,nome_campo_output
ex_autoparco O3,,,ex_autoparco_O3
ex_autoparco NO2,,,ex_autoparco_NO2
ex_autoparco SO2,,,ex_autoparco_SO2
parcheggio_agip O3,,,parcheggio_agip_O3
parcheggio_agip NO2,,,parcheggio_agip_NO2
parcheggio_agip SO2,,,parcheggio_agip_SO2
trapani O3,,,trapani_O3
trapani NO2,,,trapani_NO2
trapani SO2,,,trapani_SO2
termini O3,,,termini_O3
termini NO2,,,termini_NO2
termini SO2,,,termini_SO2
cda_gabbia O3,,,cda_gabbia_O3
cda_gabbia NO2,,,cda_gabbia_NO2
cda_gabbia SO2,,,cda_gabbia_SO2
termica_milazzo O3,,,termica_milazzo_O3
termica_milazzo NO2,,,termica_milazzo_NO2
termica_milazzo SO2,,,termica_milazzo_SO2
boccetta O3,,,boccetta_O3
boccetta NO2,,,boccetta_NO2
boccetta SO2,,,boccetta_SO2
misterbianco O3,,,misterbianco_O3
misterbianco NO2,,,misterbianco_NO2
misterbianco SO2,,,misterbianco_SO2
megara O3,,,megara_O3
megara NO2,,,megara_NO2
megara SO2,,,megara_SO2
Lab_Mobile1_sito,,,lab_mobile1_sito
Lab_Mobile2_sito,,,lab_mobile2_sito
Lab_Mobile3_sito,,,lab_mobile3_sito
Lab_Mobile4_sito,,,lab_mobile4_sito
